,2.88,5.76,7.0,11.52,23.04,30.0,46.08,92.16,150.0,184.32
10,0.01224,0.01795,0.02039,0.02934,0.05259,0.06582,0.09865,0.1889,0.306,0.3693
20,0.01581,0.02165,0.02417,0.03302,0.05567,0.06975,0.1015,0.1945,0.3064,0.3682
30,0.01883,0.02537,0.02774,0.03669,0.0597,0.07312,0.105,0.1981,0.309,0.3746
50,0.02408,0.0322,0.03517,0.04473,0.06761,0.08111,0.113,0.2047,0.3193,0.3857
70,0.02793,0.03738,0.04087,0.05158,0.07481,0.0885,0.1201,0.2136,0.326,0.3922
90,0.03184,0.04232,0.04595,0.05791,0.08267,0.09641,0.1282,0.221,0.336,0.399
120,0.03633,0.04852,0.05286,0.06639,0.0941,0.108,0.1396,0.2306,0.3478,0.4138
150,0.04072,0.05325,0.05831,0.07374,0.1041,0.1194,0.1512,0.2429,0.3595,0.4227
200,0.04701,0.06156,0.06722,0.08415,0.1188,0.1358,0.1703,0.2614,0.3763,0.4441
250,0.05267,0.06889,0.07487,0.09439,0.1319,0.1515,0.1889,0.2801,0.3963,0.4611
300,0.05788,0.07558,0.08225,0.1033,0.1437,0.1635,0.2051,0.2988,0.4149,0.4827
350,0.06293,0.08149,0.08886,0.1107,0.1552,0.1771,0.2217,0.3178,0.4309,0.502
