,2.88,5.76,7.0,11.52,23.04,30.0,46.08,92.16,150.0,184.32
10,0.00857,0.01273,0.01452,0.02107,0.03775,0.04774,0.07097,0.1367,0.224,0.2695
20,0.01052,0.01523,0.01706,0.02356,0.04019,0.05021,0.07366,0.1407,0.2247,0.2725
30,0.01209,0.01732,0.01936,0.02607,0.04263,0.05271,0.076,0.1422,0.2272,0.2748
50,0.01448,0.0205,0.02285,0.03049,0.04763,0.0578,0.08076,0.148,0.2304,0.2817
70,0.01631,0.02329,0.02594,0.03438,0.05252,0.0626,0.08591,0.152,0.2361,0.2856
90,0.0178,0.02554,0.02846,0.03755,0.05701,0.06772,0.09092,0.157,0.2408,0.2907
120,0.01951,0.02846,0.03161,0.04188,0.06297,0.07421,0.09843,0.165,0.2482,0.2972
150,0.02083,0.0308,0.03436,0.04547,0.06826,0.08015,0.1056,0.1719,0.256,0.3058
200,0.02243,0.03407,0.03818,0.05072,0.076,0.08872,0.116,0.1843,0.2684,0.32
250,0.02353,0.03656,0.04105,0.05524,0.08268,0.09676,0.1255,0.1968,0.28,0.3292
300,0.02429,0.03847,0.04365,0.05908,0.08879,0.1037,0.1342,0.2085,0.2925,0.3419
350,0.02473,0.04018,0.04561,0.06229,0.09421,0.11,0.1422,0.2181,0.3036,0.3528
