,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1
0.1,265.0,489.1,709.5,941.3,1152.0,1423.0,1632.0,1815.0,2054.0,2256.0,2478.0
0.18,277.2,508.2,726.4,960.3,1203.0,1425.0,1630.0,1852.0,2067.0,2280.0,2495.0
0.27,287.4,530.0,730.3,974.0,1198.0,1432.0,1693.0,1886.0,2109.0,2329.0,2500.0
0.35,296.6,519.4,740.6,960.3,1208.0,1412.0,1687.0,1870.0,2161.0,2301.0,2634.0
0.43,306.9,523.1,744.0,987.3,1238.0,1464.0,1659.0,1859.0,2081.0,2301.0,2510.0
0.52,315.7,534.1,761.6,981.9,1208.0,1414.0,1694.0,1940.0,2156.0,2392.0,2591.0
0.6,322.7,543.7,765.7,984.6,1249.0,1447.0,1701.0,1888.0,2124.0,2305.0,2550.0
0.68,329.9,552.3,775.2,992.2,1224.0,1485.0,1650.0,1919.0,2154.0,2314.0,2531.0
0.77,336.2,556.6,778.7,1001.0,1242.0,1463.0,1708.0,1905.0,2122.0,2343.0,2552.0
0.85,345.0,564.5,786.3,1009.0,1235.0,1478.0,1693.0,1908.0,2155.0,2342.0,2592.0
0.93,356.1,572.7,794.2,1015.0,1241.0,1469.0,1718.0,1956.0,2155.0,2360.0,2598.0
1.02,361.1,579.0,806.2,1026.0,1247.0,1462.0,1700.0,1955.0,2176.0,2393.0,2590.0
1.1,368.7,590.6,807.8,1030.0,1255.0,1471.0,1692.0,1934.0,2176.0,2393.0,2681.0
1.18,378.8,594.1,819.6,1043.0,1262.0,1481.0,1704.0,1942.0,2181.0,2422.0,2596.0
1.27,384.0,603.6,824.8,1048.0,1273.0,1490.0,1716.0,1926.0,2167.0,2422.0,2675.0
1.35,391.7,612.1,831.1,1051.0,1275.0,1495.0,1722.0,1965.0,2153.0,2406.0,2658.0
1.43,402.5,622.4,841.5,1059.0,1286.0,1507.0,1730.0,1942.0,2168.0,2460.0,2674.0
