Trans,Cap,Tphl
0.52,1.0,1994.0
1.18,0.8,1673.0
0.6,0.8,1622.0
0.93,1.1,2230.0
0.85,0.1,305.8
0.93,0.7,1498.0
0.85,0.4,881.4
1.43,0.2,556.1
1.1,1.0,2097.0
0.43,0.6,1267.0
0.85,1.1,2217.0
1.1,0.6,1287.0
0.35,0.7,1440.0
0.77,0.5,1062.0
1.35,0.3,735.9
0.18,1.1,2243.0
0.85,0.8,1674.0
1.43,0.9,1901.0
0.6,0.9,1825.0
0.68,0.1,289.5
0.77,0.4,868.4
0.27,0.4,846.1
0.93,0.1,314.2
0.35,1.0,1998.0
0.35,1.1,2164.0
0.35,0.3,644.0
0.52,0.5,1056.0
0.27,1.0,1996.0
1.1,0.3,713.7
0.85,0.6,1294.0
0.93,0.8,1658.0
0.1,0.9,1764.0
1.18,0.6,1296.0
0.68,0.5,1056.0
1.35,0.4,930.9
0.1,0.8,1578.0
0.77,0.7,1470.0
0.77,0.9,1836.0
1.1,0.9,1884.0
0.93,1.0,2097.0
1.02,0.3,705.1
1.1,0.1,330.8
1.27,0.6,1305.0
1.27,1.1,2265.0
0.77,0.2,488.3
1.43,1.0,2086.0
0.1,0.6,1204.0
0.6,0.6,1271.0
1.1,1.1,2262.0
0.6,1.1,2308.0
1.43,0.6,1319.0
0.27,0.9,1847.0
0.6,0.7,1479.0
1.43,0.4,937.9
0.6,0.4,854.4
1.27,1.0,2096.0
0.85,0.3,689.6
0.85,1.0,2071.0
0.18,0.1,238.0
1.1,0.7,1490.0
1.27,0.3,729.5
0.93,0.9,1902.0
1.43,0.8,1700.0
0.27,0.6,1201.0
0.52,0.6,1266.0
0.6,0.5,1064.0
0.68,0.9,1837.0
0.18,0.5,1053.0
0.18,0.3,629.8
0.68,0.7,1450.0
0.1,1.1,2175.0
0.6,0.3,664.4
0.35,0.8,1634.0
0.18,0.6,1242.0
1.27,0.2,538.9
0.77,0.1,298.7
1.43,0.3,744.0
0.77,0.8,1655.0
1.27,0.9,1873.0
1.35,0.5,1120.0
1.18,1.0,2094.0
1.35,0.7,1504.0
0.85,0.7,1479.0
0.52,0.8,1622.0
0.35,0.9,1797.0
0.52,1.1,2292.0
0.1,0.1,224.8
0.6,0.1,280.9
0.1,0.4,809.9
0.27,0.3,628.4
0.77,0.3,682.8
1.27,0.4,924.0
0.85,0.2,496.6
1.35,0.8,1694.0
1.02,0.4,895.2
0.35,0.5,1026.0
0.18,1.0,2037.0
0.52,0.3,655.6
1.35,1.0,2120.0
0.93,0.2,504.4
0.43,0.8,1666.0
1.18,0.5,1104.0
0.27,0.8,1649.0
0.52,0.7,1476.0
0.35,0.4,850.7
0.1,0.2,425.6
0.6,0.2,472.3
1.27,0.5,1106.0
0.18,0.8,1597.0
0.52,0.4,858.9
0.52,0.2,461.8
0.68,0.8,1640.0
1.02,0.1,323.4
0.27,0.2,438.9
0.85,0.5,1071.0
0.93,0.4,888.8
0.68,1.0,2008.0
1.1,0.2,520.9
0.18,0.7,1386.0
1.43,1.1,2324.0
0.35,0.6,1251.0
0.1,1.0,1990.0
0.68,0.2,480.8
1.27,0.7,1499.0
0.68,0.3,673.2
0.27,0.1,246.6
0.27,1.1,2209.0
1.02,1.1,2241.0
1.02,1.0,2057.0
1.02,0.2,513.9
0.27,0.5,1018.0
1.18,0.7,1492.0
1.1,0.4,905.4
0.1,0.5,996.1
1.35,1.1,2317.0
1.02,0.8,1710.0
0.43,0.3,649.9
1.43,0.7,1510.0
0.93,0.6,1268.0
1.02,0.7,1466.0
0.85,0.9,1852.0
1.27,0.8,1682.0
0.35,0.2,448.4
0.68,1.1,2263.0
0.43,0.2,455.2
1.02,0.9,1909.0
0.43,0.4,846.9
0.68,0.6,1263.0
0.43,0.5,1066.0
0.77,1.0,2057.0
0.6,1.0,2093.0
0.43,1.1,2282.0
0.18,0.2,431.5
0.43,0.9,1803.0
1.02,0.5,1087.0
0.93,0.5,1080.0
0.43,0.7,1437.0
0.18,0.9,1821.0
1.35,0.1,354.8
1.35,0.2,547.8
1.35,0.6,1312.0
1.18,0.3,722.1
1.18,0.9,1885.0
0.52,0.1,271.5
0.27,0.7,1434.0
1.43,0.1,362.2
0.1,0.7,1399.0
0.43,1.0,2022.0
1.18,0.2,529.1
1.18,1.1,2267.0
0.18,0.4,858.8
0.77,1.1,2217.0
0.43,0.1,264.6
1.18,0.1,338.3
1.1,0.5,1099.0
0.93,0.3,698.1
1.27,0.1,348.0
1.43,0.5,1127.0
1.02,0.6,1281.0
1.1,0.8,1712.0
0.1,0.3,610.5
1.35,0.9,1920.0
1.18,0.4,913.0
0.52,0.9,1807.0
0.68,0.4,863.8
0.35,0.1,254.6
0.77,0.6,1276.0
