Gate,VOL,Trans,Cap,Tphl,Tplh
010,0.78,50,30.00,0.07306,0.05208
010,0.8,10,30.00,0.05811,0.04324
010,0.71,150,92.16,0.2392,0.168
010,0.66,30,150.00,0.3371,0.2356
010,0.64,20,7.00,0.02656,0.01833
010,0.77,250,92.16,0.2569,0.1788
010,0.65,120,23.04,0.1006,0.06697
010,0.75,250,7.00,0.06821,0.03226
010,0.63,300,184.32,0.5459,0.3728
010,0.78,30,46.08,0.09419,0.06925
010,0.8,120,46.08,0.124,0.08641
010,0.62,50,23.04,0.07773,0.05272
010,0.64,350,23.04,0.1735,0.1055
010,0.67,350,92.16,0.3312,0.2253
010,0.66,120,2.88,0.0398,0.02182
010,0.77,350,7.00,0.07795,0.03044
010,0.76,50,11.52,0.04147,0.02784
010,0.7,200,11.52,0.08415,0.04948
010,0.73,200,2.88,0.04436,0.01793
010,0.67,30,11.52,0.03845,0.02678
010,0.7,150,30.00,0.1194,0.07897
010,0.6,70,92.16,0.266,0.1756
010,0.79,70,5.76,0.03248,0.01875
010,0.71,10,23.04,0.05169,0.03688
010,0.69,70,30.00,0.08992,0.0626
010,0.68,70,184.32,0.4066,0.2893
010,0.7,20,184.32,0.3682,0.2711
010,0.64,120,30.00,0.118,0.07987
010,0.69,300,11.52,0.1054,0.05908
010,0.7,120,184.32,0.4138,0.2949
010,0.77,300,11.52,0.09022,0.04498
010,0.78,70,23.04,0.06803,0.04707
010,0.7,300,5.76,0.07558,0.03673
010,0.68,90,23.04,0.08488,0.05782
010,0.7,250,5.76,0.06889,0.03507
010,0.71,250,92.16,0.2762,0.1915
010,0.8,120,184.32,0.3625,0.2673
010,0.79,150,184.32,0.3734,0.2766
010,0.64,300,92.16,0.3283,0.2237
010,0.76,90,150.00,0.3077,0.2237
010,0.71,150,11.52,0.07249,0.04361
010,0.6,90,92.16,0.2769,0.1814
010,0.65,350,150.00,0.4715,0.3213
010,0.77,20,7.00,0.02225,0.01545
010,0.72,250,46.08,0.1838,0.1199
010,0.66,300,30.00,0.1757,0.1097
010,0.62,150,150.00,0.4244,0.2846
010,0.79,200,7.00,0.05733,0.02643
010,0.66,30,11.52,0.03915,0.02715
010,0.65,70,11.52,0.05574,0.03652
010,0.73,70,92.16,0.2035,0.1452
010,0.73,90,184.32,0.3791,0.2792
010,0.77,10,11.52,0.02687,0.01938
010,0.72,90,46.08,0.1245,0.08766
010,0.66,150,184.32,0.4595,0.3173
010,0.7,20,92.16,0.1945,0.138
010,0.77,300,150.00,0.377,0.2674
010,0.79,20,11.52,0.02963,0.02115
010,0.65,200,23.04,0.1293,0.08158
010,0.75,350,46.08,0.2039,0.1281
010,0.63,350,2.88,0.0738,0.03631
010,0.62,350,23.04,0.1814,0.1102
010,0.75,150,5.76,0.04891,0.02537
010,0.8,90,2.88,0.02661,0.01181
010,0.74,90,2.88,0.02935,0.01497
010,0.64,150,46.08,0.166,0.1133
010,0.73,20,184.32,0.3505,0.2637
010,0.61,50,92.16,0.2493,0.1677
010,0.76,350,5.76,0.07289,0.02702
010,0.62,150,2.88,0.04901,0.02747
010,0.66,200,184.32,0.4799,0.3312
010,0.71,20,30.00,0.06873,0.04889
010,0.71,200,5.76,0.06079,0.03161
010,0.75,20,11.52,0.031,0.02198
010,0.72,20,2.88,0.01541,0.01006
010,0.73,90,46.08,0.1228,0.0865
010,0.72,20,7.00,0.02355,0.01642
010,0.77,30,2.88,0.01716,0.0104
010,0.77,200,5.76,0.05408,0.02479
010,0.67,20,92.16,0.2049,0.1432
010,0.61,50,23.04,0.07952,0.05365
010,0.72,250,150.00,0.3851,0.2687
010,0.67,70,2.88,0.02962,0.01722
010,0.79,90,5.76,0.03623,0.01985
010,0.79,350,30.00,0.153,0.08817
010,0.7,70,30.00,0.0885,0.06172
010,0.67,120,7.00,0.05562,0.03321
010,0.65,300,30.00,0.1801,0.1118
010,0.6,30,150.00,0.3939,0.2615
010,0.75,350,30.00,0.1619,0.09674
010,0.69,250,92.16,0.2843,0.1968
010,0.77,200,30.00,0.1234,0.07782
010,0.69,120,184.32,0.4211,0.2972
010,0.75,300,23.04,0.1319,0.07732
010,0.62,200,92.16,0.3039,0.2046
010,0.8,20,2.88,0.01402,0.0089
010,0.71,10,5.76,0.01769,0.01244
010,0.78,50,5.76,0.0284,0.01752
010,0.73,300,184.32,0.4628,0.3273
010,0.65,70,46.08,0.132,0.09077
010,0.66,300,46.08,0.2178,0.1408
010,0.61,300,46.08,0.2358,0.1533
010,0.8,10,46.08,0.08576,0.06445
010,0.67,250,30.00,0.1586,0.1002
010,0.66,350,23.04,0.1669,0.1009
010,0.66,20,30.00,0.07503,0.05212
010,0.6,350,23.04,0.189,0.115
010,0.73,120,5.76,0.04569,0.02543
010,0.65,200,7.00,0.07524,0.04318
010,0.61,30,11.52,0.04324,0.0294
010,0.79,120,92.16,0.2054,0.1484
010,0.64,200,46.08,0.1861,0.1249
010,0.61,250,5.76,0.085,0.049
010,0.72,250,23.04,0.1274,0.07776
010,0.62,90,30.00,0.1105,0.07488
010,0.75,200,23.04,0.11,0.06795
010,0.73,30,150.00,0.2948,0.2165
010,0.62,350,5.76,0.09974,0.05489
010,0.68,120,11.52,0.06864,0.04272
010,0.62,120,2.88,0.04355,0.02497
010,0.65,90,11.52,0.06266,0.04024
010,0.8,30,92.16,0.1714,0.129
010,0.68,20,30.00,0.0721,0.05106
010,0.72,150,7.00,0.05647,0.03154
010,0.65,120,46.08,0.1519,0.1037
010,0.8,50,7.00,0.0305,0.01908
010,0.79,30,150.00,0.2765,0.2059
010,0.6,50,2.88,0.02899,0.0177
010,0.76,50,30.00,0.07459,0.05315
010,0.67,120,2.88,0.03879,0.02104
010,0.78,350,30.00,0.1551,0.0901
010,0.7,50,46.08,0.113,0.07991
010,0.66,200,7.00,0.07349,0.04189
010,0.72,120,7.00,0.05067,0.02934
010,0.64,10,5.76,0.01999,0.01367
010,0.62,20,2.88,0.01765,0.0119
010,0.65,250,184.32,0.5053,0.3502
010,0.79,200,46.08,0.1536,0.1011
010,0.75,90,92.16,0.2025,0.1469
010,0.64,70,150.00,0.3712,0.2536
010,0.7,50,184.32,0.3857,0.2783
010,0.77,20,5.76,0.02007,0.01374
010,0.71,50,184.32,0.3791,0.2729
010,0.8,300,184.32,0.4235,0.3036
010,0.71,200,92.16,0.2578,0.1798
010,0.61,90,23.04,0.09576,0.06431
010,0.64,20,30.00,0.07878,0.05377
010,0.76,250,30.00,0.1376,0.08518
010,0.6,300,150.00,0.5034,0.3353
010,0.79,50,23.04,0.06032,0.04246
010,0.61,250,7.00,0.09216,0.05356
010,0.78,10,5.76,0.0162,0.01152
010,0.66,50,23.04,0.07196,0.04959
010,0.77,250,2.88,0.04723,0.01329
010,0.64,90,7.00,0.05144,0.03153
010,0.76,200,30.00,0.125,0.0792
010,0.65,90,150.00,0.3679,0.2563
010,0.74,20,5.76,0.02066,0.01431
010,0.68,350,23.04,0.1609,0.09637
010,0.67,10,150.00,0.3249,0.229
010,0.63,20,11.52,0.03765,0.02571
010,0.74,350,184.32,0.474,0.3343
010,0.63,120,46.08,0.1575,0.1069
010,0.79,250,2.88,0.04597,0.01082
010,0.6,250,92.16,0.3378,0.2251
010,0.78,70,7.00,0.0362,0.02167
010,0.71,250,46.08,0.1864,0.1218
010,0.66,350,184.32,0.5366,0.3682
010,0.61,10,150.00,0.3752,0.2542
010,0.65,350,30.00,0.1945,0.1193
010,0.66,10,2.88,0.01298,0.00892
010,0.63,150,5.76,0.06249,0.03673
010,0.73,50,7.00,0.03365,0.02149
010,0.77,90,5.76,0.03743,0.02102
