,0.1,0.5,1.2,3.0,4.0,5.0
0.1,0.3803,1.809,4.254,10.52,14.48,17.9
0.4,0.3759,1.828,4.378,10.93,14.14,17.88
0.8,0.3703,1.784,4.217,10.57,14.65,18.21
1.5,0.3583,1.772,4.335,10.52,14.55,17.91
2.0,0.3474,1.756,4.28,11.11,14.53,17.68
3.0,0.3308,1.728,4.194,10.76,14.21,17.45
