Trans,0.1,0.5,1.2,3.0
0.1,227.0,1039.0,2456.0,
0.4,269.7,1080.0,2496.0,
0.8,303.6,1125.0,2539.0,
1.5,407.1,1253.0,,
2.0,431.5,1333.0,,6505.0
