,0.1,0.5,1.2,3.0,4.0,5.0
0.1,0.2148,1.076,2.592,6.516,8.314,9.892
0.4,0.2499,1.04,2.367,6.048,8.228,9.842
0.8,0.295,1.084,2.469,5.918,8.477,10.13
1.5,0.3615,1.167,2.493,6.063,7.929,10.81
2.0,0.3829,1.229,2.577,6.3,7.959,9.813
3.0,0.3224,1.343,2.692,6.224,8.542,10.2
